Map,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %
Abyss,A,44.42%,27.16%,55.58%,33.21%,N/A,N/A
Ascent,A,54.35%,26.63%,45.65%,27.25%,N/A,N/A
Bind,B,56.72%,27.14%,43.28%,24.09%,N/A,N/A
Breeze,B,57.74%,28.41%,42.26%,26.92%,N/A,N/A
Fracture,A,52.43%,26.16%,47.57%,28.68%,N/A,N/A
Haven,A,42.44%,25.24%,15.91%,28.68%,41.65%,27.36%
Icebox,A,54.97%,23.92%,45.03%,29.01%,N/A,N/A
Lotus,A,42.26%,22.69%,16.70%,29.67%,41.04%,31.68%
Pearl,B,48.76%,28.15%,51.24%,26.91%,N/A,N/A
Split,B,48.00%,28.44%,52.00%,21.57%,N/A,N/A
Sunset,A,47.96%,23.27%,52.04%,28.58%,N/A,N/A
