Map,Best Site,A Pick %,A Defuse %,B Pick %,B Defuse %,C Pick %,C Defuse %
Abyss,A,48.83%,25.98%,51.17%,34.05%,N/A,N/A
Ascent,B,53.99%,28.50%,46.01%,27.75%,N/A,N/A
Bind,B,57.22%,31.52%,42.78%,27.64%,N/A,N/A
Breeze,B,54.96%,28.96%,45.04%,27.61%,N/A,N/A
Fracture,A,54.62%,27.93%,45.38%,28.29%,N/A,N/A
Haven,A,41.53%,26.59%,18.24%,29.74%,40.23%,30.12%
Icebox,A,54.78%,27.00%,45.22%,29.91%,N/A,N/A
Lotus,A,42.40%,25.46%,23.77%,29.79%,33.84%,31.49%
Pearl,B,50.49%,30.38%,49.51%,24.70%,N/A,N/A
Split,B,46.68%,28.32%,53.32%,25.67%,N/A,N/A
Sunset,B,44.18%,30.99%,55.82%,28.72%,N/A,N/A
