Map,Play %,Attacker Win %,Attacker KDA,Defender Win %,Defender KDA,Rank
Abyss,11.64%,50.94%,1.29,49.06%,1.35,Allrank
Ascent,11.40%,47.39%,1.24,52.61%,1.45,Allrank
Bind,11.43%,48.21%,1.25,51.79%,1.41,Allrank
Breeze,4.85%,51.58%,1.26,48.42%,1.32,Allrank
Fracture,4.92%,51.38%,1.31,48.62%,1.34,Allrank
Haven,11.60%,50.18%,1.28,49.82%,1.37,Allrank
Icebox,11.45%,50.16%,1.27,49.84%,1.34,Allrank
Lotus,11.39%,52.14%,1.33,47.86%,1.33,Allrank
Pearl,4.97%,51.28%,1.31,48.72%,1.34,Allrank
Split,4.88%,50.49%,1.3,49.51%,1.35,Allrank
Sunset,11.46%,49.43%,1.28,50.57%,1.39,Allrank
Abyss,12.60%,49.44%,1.31,50.86%,1.43,Ascendant
Ascent,12.46%,45.66%,1.26,54.48%,1.56,Ascendant
Bind,12.47%,46.93%,1.28,53.27%,1.5,Ascendant
Breeze,3.11%,52.18%,1.59,51.10%,1.65,Ascendant
Fracture,3.17%,51.72%,1.61,51.07%,1.68,Ascendant
Haven,12.58%,48.87%,1.31,51.27%,1.44,Ascendant
Icebox,12.42%,48.48%,1.26,51.68%,1.41,Ascendant
Lotus,12.39%,51.14%,1.37,49.16%,1.4,Ascendant
Pearl,3.20%,50.52%,1.58,51.94%,1.7,Ascendant
Split,3.12%,49.49%,1.57,53.15%,1.75,Ascendant
Sunset,12.47%,48.72%,1.32,51.49%,1.45,Ascendant
Abyss,11.32%,51.54%,1.28,48.51%,1.33,Bronze
Ascent,11.18%,47.95%,1.23,51.98%,1.42,Bronze
Bind,11.22%,48.92%,1.24,51.19%,1.38,Bronze
Breeze,5.31%,51.53%,1.29,48.08%,1.34,Bronze
Fracture,5.37%,51.37%,1.33,48.08%,1.35,Bronze
Haven,11.31%,50.51%,1.26,49.39%,1.35,Bronze
Icebox,11.18%,50.85%,1.28,49.13%,1.32,Bronze
Lotus,11.14%,52.77%,1.33,47.25%,1.31,Bronze
Pearl,5.43%,51.34%,1.33,48.28%,1.35,Bronze
Split,5.34%,50.58%,1.32,49.22%,1.37,Bronze
Sunset,11.20%,49.87%,1.27,50.19%,1.38,Bronze
Abyss,12.29%,49.67%,1.32,50.52%,1.42,Diamond
